1,2,2,2,2,2,3,3
2,2,2,1,2,2,2,2
3,2,2,2,1,1,1,2
4,1,2,2,1,2,2,3
5,2,2,2,2,2,1,1
6,3,2,2,3,1,1,1
7,2,2,2,2,2,1,1
8,1,2,2,1,1,2,1
9,2,1,2,2,1,1,1
10,2,2,2,2,3,1,2
11,2,2,2,2,2,1,1
12,3,1,2,2,2,1,1
13,2,2,2,1,2,1,1
14,1,2,2,2,2,1,3
15,1,3,2,2,2,1,2
16,2,1,2,2,1,1,3
17,2,2,2,2,2,2,2
18,2,2,2,2,2,1,1
19,1,1,2,2,2,2,1
20,3,2,2,2,1,1,1
21,2,3,2,2,3,1,2
22,1,2,1,1,1,3,3
23,2,3,2,2,3,3,3
24,2,2,2,2,2,1,1
25,2,1,3,2,2,1,1
26,1,1,1,2,2,2,1
27,2,2,2,2,1,1,1
28,3,3,2,2,2,1,1
29,2,2,2,2,2,1,1
30,2,2,2,2,2,2,2
31,2,2,2,3,3,2,1
32,2,2,2,1,2,2,1
33,2,3,2,3,2,1,1
34,3,3,2,3,2,1,2
35,1,2,1,2,2,2,3
36,2,3,2,1,2,1,1
37,2,2,2,2,2,2,1
38,2,3,2,3,2,3,3
39,2,2,2,2,2,3,1
40,2,2,2,1,1,1,1
41,2,2,3,3,2,1,2
42,3,2,2,2,2,1,1
43,2,2,2,2,2,2,1
44,2,1,3,2,2,1,1
45,2,1,2,2,3,2,1
46,1,2,2,1,2,2,1
47,2,3,3,2,3,2,1
48,3,2,2,2,3,3,3
49,1,2,2,1,2,2,2
50,3,3,2,2,3,3,2
51,2,2,2,1,2,2,1
52,2,3,2,2,2,3,2
53,2,3,3,2,2,1,1
54,3,1,2,3,3,2,1
55,2,3,2,2,3,1,1
56,1,1,2,1,2,1,1
57,2,2,2,2,2,1,1
58,1,2,2,2,1,3,2
59,3,1,2,2,2,3,1
60,1,1,1,1,2,1,1
61,2,1,1,2,2,2,2
62,2,2,2,3,2,1,1
63,2,3,3,2,2,1,1
64,2,2,2,2,1,2,3
65,2,1,2,2,2,1,1
